Date,MSFT,AAPL,TSLA,META,PLTN
01-01-2021,219.11,133.52,239.82,274.78,152.51
01-02-2021,236.08,133.75,271.43,259.52,147.7
01-03-2021,233.95,123.75,230.04,260.82,122.48
01-04-2021,239.29,123.66,229.46,298.4,114.99
01-05-2021,248.68,132.04,234.6,326.17,98.26
01-06-2021,244.84,125.08,209.27,330.15,110.9
01-07-2021,268.8,136.6,227.97,346.82,125
01-08-2021,281.87,146.36,233.33,358.1,117.9
01-09-2021,299.28,152.83,244.69,379.59,99.91
01-10-2021,286.66,141.9,259.47,341.61,86.19
01-11-2021,326.59,148.99,381.67,326.04,91.6
01-12-2021,327.9,167.48,386.9,330.29,43.81
01-01-2022,334.09,177.83,382.58,338.3,36.08
